"TimeCreated","Id","LevelDisplayName","ProviderName"
"18/03/2026 11:43:01","10016","Avertissement","Microsoft-Windows-DistributedCOM"
"18/03/2026 11:43:01","10001","Information","Microsoft-Windows-WLAN-AutoConfig"
"18/03/2026 11:43:00","4000","Information","Microsoft-Windows-WLAN-AutoConfig"
"18/03/2026 11:42:59","9","Information","ADIAmpDriver"
"18/03/2026 11:42:59","4","Information","ADIAmpDriver"
"18/03/2026 11:42:59","7","Information","ADIAmpDriver"
"18/03/2026 11:42:59","12","Information","Microsoft-Windows-UserModePowerService"
"18/03/2026 11:42:58","12","Information","Microsoft-Windows-UserModePowerService"
"18/03/2026 11:42:58","7009","Erreur","Service Control Manager"
"18/03/2026 11:42:58","1","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:58","5","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","112","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","1038","Information","Microsoft-Windows-TPM-WMI"
"18/03/2026 11:42:57","1041","Information","Microsoft-Windows-TPM-WMI"
"18/03/2026 11:42:57","277","Information","Microsoft-Windows-Hyper-V-VmSwitch"
"18/03/2026 11:42:57","267","Information","Win32k"
"18/03/2026 11:42:57","267","Information","Win32k"
"18/03/2026 11:42:57","7001","Information","Microsoft-Windows-Winlogon"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","1","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:57","5","Information","ADIAmpDriver"
"18/03/2026 11:42:57","51046","Information","Microsoft-Windows-DHCPv6-Client"
"18/03/2026 11:42:57","50036","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:57","50103","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:57","50036","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:56","16983","Information","Microsoft-Windows-Directory-Services-SAM"
"18/03/2026 11:42:56","16977","Information","Microsoft-Windows-Directory-Services-SAM"
"18/03/2026 11:42:56","16962","Information","Microsoft-Windows-Directory-Services-SAM"
"18/03/2026 11:42:56","5","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:56","6156","Information","LsaSrv"
"18/03/2026 11:42:56","12","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","18","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","1","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:56","5","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:56","14","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","23","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","25","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","24","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","19","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:56","21","Information","Microsoft-Windows-Wininit"
"18/03/2026 11:42:55","98","Information","Microsoft-Windows-Ntfs"
"18/03/2026 11:42:55","98","Information","Microsoft-Windows-Ntfs"
"18/03/2026 11:42:55","219","Avertissement","Microsoft-Windows-Kernel-PnP"
"18/03/2026 11:42:55","10118","Information","Microsoft-Windows-DriverFrameworks-UserMode"
"18/03/2026 11:42:54","18","Information","BTHUSB"
"18/03/2026 11:42:53","21","Information","ADIAmpDriver"
"18/03/2026 11:42:53","219","Avertissement","Microsoft-Windows-Kernel-PnP"
"18/03/2026 11:42:53","10118","Information","Microsoft-Windows-DriverFrameworks-UserMode"
"18/03/2026 11:42:52","219","Avertissement","Microsoft-Windows-Kernel-PnP"
"18/03/2026 11:42:52","10118","Information","Microsoft-Windows-DriverFrameworks-UserMode"
"18/03/2026 11:42:52","28","Information","Intel-SST-OED"
"18/03/2026 11:42:52","28","Information","Intel-SST-OED"
"18/03/2026 11:42:52","28","Information","Intel-SST-OED"
"18/03/2026 11:42:52","28","Information","Intel-SST-OED"
"18/03/2026 11:42:52","4","Information","ADIAmpDriver"
"18/03/2026 11:42:52","26","Information","ADIAmpDriver"
"18/03/2026 11:42:52","7017","Information","Netwtw14"
"18/03/2026 11:42:51","7010","Information","Netwtw14"
"18/03/2026 11:42:51","7002","Information","Netwtw14"
"18/03/2026 11:42:51","7005","Information","Netwtw14"
"18/03/2026 11:42:51","7006","Information","Netwtw14"
"18/03/2026 11:42:51","7027","Information","Netwtw14"
"18/03/2026 11:42:51","7029","Information","Netwtw14"
"18/03/2026 11:42:51","7036","Information","Netwtw14"
"18/03/2026 11:42:51","4096","Information","nipcibrd"
"18/03/2026 11:42:51","4096","Information","nipcibrd"
"18/03/2026 11:42:49","12","Erreur","VBoxNetLwf"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","2","Information","MEIx64"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:49","55","Information","Microsoft-Windows-Kernel-Processor-Power"
"18/03/2026 11:42:48","219","Avertissement","Microsoft-Windows-Kernel-PnP"
"18/03/2026 11:42:48","10118","Information","Microsoft-Windows-DriverFrameworks-UserMode"
"18/03/2026 11:42:48","24","Information","Microsoft-Windows-Kernel-General"
"18/03/2026 11:42:46","125","Information","Microsoft-Windows-Kernel-Power"
"18/03/2026 11:42:46","125","Information","Microsoft-Windows-Kernel-Power"
"18/03/2026 11:42:46","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:46","7036","Information","VfpExt"
"18/03/2026 11:42:46","7036","Information","VfpExt"
"18/03/2026 11:42:46","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:46","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:46","98","Information","Microsoft-Windows-Ntfs"
"18/03/2026 11:42:44","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:44","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:44","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:44","6","Information","Microsoft-Windows-FilterManager"
"18/03/2026 11:42:44","4096","Information","nipcibrd"
"18/03/2026 11:42:43","16","Information","Microsoft-Windows-HAL"
"18/03/2026 11:42:43","20","Information","Microsoft-Windows-Kernel-General"
"18/03/2026 11:42:43","30","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","3","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:43","165","Information","Microsoft-Windows-Hyper-V-Hypervisor"
"18/03/2026 11:42:43","156","Information","Microsoft-Windows-Hyper-V-Hypervisor"
"18/03/2026 11:42:43","129","Information","Microsoft-Windows-Hyper-V-Hypervisor"
"18/03/2026 11:42:43","2","Information","Microsoft-Windows-Hyper-V-Hypervisor"
"18/03/2026 11:42:43","1","Information","Microsoft-Windows-Hyper-V-Hypervisor"
"18/03/2026 11:42:43","27","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","25","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","242","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","272","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","238","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","247","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","20","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","32","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","18","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","153","Information","Microsoft-Windows-Kernel-Boot"
"18/03/2026 11:42:43","25","Information","Microsoft-Windows-Kernel-General"
"18/03/2026 11:42:43","12","Information","Microsoft-Windows-Kernel-General"
"18/03/2026 11:42:25","13","Information","Microsoft-Windows-Kernel-General"
"18/03/2026 11:42:25","577","Information","Microsoft-Windows-Kernel-Power"
"18/03/2026 11:42:22","109","Information","Microsoft-Windows-Kernel-Power"
"18/03/2026 11:42:19","4001","Information","Microsoft-Windows-WLAN-AutoConfig"
"18/03/2026 11:42:19","10002","Avertissement","Microsoft-Windows-WLAN-AutoConfig"
"18/03/2026 11:42:19","117","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:19","114","Information","Microsoft-Windows-HttpService"
"18/03/2026 11:42:57","6013","Information","EventLog"
"18/03/2026 11:42:57","6005","Information","EventLog"
"18/03/2026 11:42:57","6009","Information","EventLog"
"18/03/2026 11:42:17","50037","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:17","50106","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:17","51057","Information","Microsoft-Windows-DHCPv6-Client"
"18/03/2026 11:42:17","51057","Information","Microsoft-Windows-DHCPv6-Client"
"18/03/2026 11:42:17","51047","Information","Microsoft-Windows-DHCPv6-Client"
"18/03/2026 11:42:17","50105","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:17","50104","Information","Microsoft-Windows-Dhcp-Client"
"18/03/2026 11:42:17","6006","Information","EventLog"
"18/03/2026 11:42:15","0","Information","Intel Connectivity Network Service"
"18/03/2026 11:42:14","2","Information","Microsoft-Windows-IsolatedUserMode"
"18/03/2026 11:42:14","0","Information","Intel Analytics Service"
"18/03/2026 11:42:14","16","Information","Intel Connectivity Network Service"
"18/03/2026 11:42:14","16","Information","Intel Analytics Service"
